beam_width,wall_time_s,label,resource_cost,fidelity,success_prob,rate
1,0.14370369911193848,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
2,0.13863539695739746,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
4,0.18108916282653809,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
8,0.568284273147583,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
16,3.483323574066162,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
25,16.18251609802246,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
32,39.81970453262329,end_optimistic.n3.YY_ZX,60,0.906317288623857,0.6195951122376533,6195.951122376533
