e_d,variant,label,resource_cost,fidelity,success_prob,rate,latency_ms
0.012,optimizer_budget_relaxed,beam.span.((hop0+hop1.n2.YY)+(hop2.n3.ZX_YY+(hop3.n3.ZX_YY+(hop4.n3.ZX_YY+(hop5.n3.ZX_YY+(hop6.n3.ZX_YY+(hop7.n3.ZX_YY+(hop8.n3.ZX_YY+hop9.n3.ZX_YY)))))))),54,0.900551846984698,0.5818348099309679,5818.348099309679,0.0001
0.013,paper_baseline,flexible_paper,100,0.9052767840107925,0.314006372224586,3140.06372224586,0.0001
0.013,optimizer_matched_cost,flexible_paper,100,0.9052767840107925,0.314006372224586,3140.06372224586,0.0001
0.013,optimizer_budget_relaxed,beam.span.((hop0.n2.YY+hop1.n2.YY)+(hop2.n3.ZX_YY+(hop3.n3.ZX_YY+(hop4.n3.ZX_YY+(hop5.n3.ZX_YY+(hop6.n3.ZX_YY+(hop7.n3.ZX_YY+(hop8.n3.ZX_YY+hop9.n3.ZX_YY)))))))),56,0.9008211989721686,0.5374999612044437,5374.999612044437,0.0001
0.014,paper_baseline,flexible_paper,100,0.8967308301085454,0.2888541963341209,2888.541963341209,0.0001
0.014,optimizer_matched_cost,link.n5.XZ_XZ_XZ_XZ,100,0.910938655207132,0.2703169069085075,2703.169069085075,0.0001
0.014,optimizer_budget_relaxed,beam.span.(hop0.n2.ZX+(hop1.n3.YY_ZX+((hop2.n3.YY_ZX+hop3.n3.YY_ZX)+(hop4.n3.YY_ZX+(hop5.n3.YY_ZX+((hop6.n3.YY_ZX+hop7.n3.YY_ZX)+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))))))),58,0.9010322946570202,0.49380130121321514,4938.013012132151,0.0001
0.015,paper_baseline,flexible_paper,100,0.8879329453087567,0.26597256773633043,2659.7256773633044,0.0001
0.015,optimizer_matched_cost,link.n5.XZ_XZ_XZ_XZ,100,0.9048970192271674,0.24617975278613577,2461.7975278613576,0.0001
0.015,optimizer_budget_relaxed,beam.span.((hop0.n3.YY_ZX+hop1.n3.YY_ZX)+(((hop2.n3.YY_ZX+hop3.n3.YY_ZX)+(hop4.n3.YY_ZX+hop5.n3.YY_ZX))+((hop6.n3.YY_ZX+hop7.n3.YY_ZX)+(hop8.n3.YY_ZX+hop9.n3.YY_ZX)))),60,0.9022505803698068,0.4512645480371071,4512.64548037107,0.0001
0.016,paper_baseline,flexible_paper,100,0.8788748728991491,0.24514664494344537,2451.466449434454,0.0001
0.016,optimizer_matched_cost,end_heralded.n5.XZ_XZ_XZ_XZ,100,0.847626629467676,0.26307832157152583,292.30924619058425,0.0009000000000000001
0.016,optimizer_budget_relaxed,beam.span.(hop0.n3.YY_ZX+((hop1.n3.YY_ZX+(hop2.n3.YY_ZX+hop3.n3.YY_ZX))+(hop4.n3.YY_ZX+(hop5.n3.YY_ZX+(hop6.n3.YY_ZX+(hop7.n3.YY_ZX+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))))))),60,0.8959121795891867,0.42809096058992896,4280.909605899289,0.0001
0.017,paper_baseline,flexible_paper,100,0.8695504456997796,0.22618224184085955,2261.8224184085952,0.0001
0.017,optimizer_matched_cost,end_heralded.n5.XZ_XZ_XZ_XZ,100,0.8346071941747024,0.245279035309022,272.5322614544689,0.0009000000000000001
0.017,optimizer_budget_relaxed,beam.span.(hop0.n3.YY_ZX+(hop1.n3.YY_ZX+((hop2.n3.YY_ZX+(hop3.n3.YY_ZX+hop4.n3.YY_ZX))+((hop5.n3.YY_ZX+hop6.n3.YY_ZX)+(hop7.n3.YY_ZX+(hop8.n3.YY_ZX+hop9.n3.YY_ZX)))))),60,0.8895983483769381,0.40612534953396057,4061.2534953396053,0.0001
0.018,paper_baseline,flexible_paper,100,0.8599557163523278,0.20890383748146693,2089.038374814669,0.0001
0.018,optimizer_matched_cost,end_heralded.n5.XZ_XZ_XZ_XZ,100,0.8211901773863409,0.22912749871502694,254.58610968336325,0.0009000000000000001
0.018,optimizer_budget_relaxed,beam.span.(hop0.n3.YY_ZX+(hop1.n3.YY_ZX+((hop2.n3.YY_ZX+hop3.n3.YY_ZX)+(hop4.n3.YY_ZX+(hop5.n3.YY_ZX+((hop6.n3.YY_ZX+hop7.n3.YY_ZX)+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))))))),60,0.8833094663445672,0.3853040565492059,3853.0405654920587,0.0001
0.019,paper_baseline,flexible_paper,100,0.8500890665371805,0.19315277680252846,1931.5277680252846,0.0001
0.019,optimizer_matched_cost,end_heralded.n5.XZ_XZ_XZ_XZ,100,0.8073964738292132,0.21446542634859037,238.29491816510037,0.0009000000000000001
0.019,optimizer_budget_relaxed,beam.span.((hop0.n3.YY_ZX+hop1.n3.YY_ZX)+((hop2.n3.YY_ZX+hop3.n3.YY_ZX)+((hop4.n3.YY_ZX+hop5.n3.YY_ZX)+((hop6.n3.YY_ZX+hop7.n3.YY_ZX)+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))))),60,0.877045907289604,0.36556680381774653,3655.668038177465,0.0001
0.02,paper_baseline,flexible_paper,100,0.8399512915160138,0.17878564409187314,1787.8564409187313,0.0001
0.02,optimizer_matched_cost,end_heralded.n5.XZ_XZ_XZ_XZ,100,0.7932516899425565,0.2011502248054954,223.50024978388376,0.0009000000000000001
0.02,optimizer_budget_relaxed,beam.span.(hop0.n3.YY_ZX+((hop1.n3.YY_ZX+hop2.n3.YY_ZX)+(hop3.n3.YY_ZX+(hop4.n3.YY_ZX+(hop5.n3.YY_ZX+((hop6.n3.YY_ZX+hop7.n3.YY_ZX)+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))))))),60,0.8708080391205627,0.346856513606457,3468.5651360645697,0.0001
