param_name,param_value,schedule,resource_cost,fidelity,success_prob,rate,latency
gamma,0.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,0.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,0.0,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,462.0155396260946,0.0009000000000000001
gamma,1.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,1.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,1.0,baseline_heralded_pumping,100,0.9165971198626025,0.4155575289270954,461.73058769677266,0.0009000000000000001
gamma,10.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,10.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,10.0,baseline_heralded_pumping,100,0.9148289513956633,0.4132607450431034,459.17860560344815,0.0009000000000000001
gamma,100.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,100.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,100.0,baseline_heralded_pumping,100,0.8969398901145056,0.3913752083567148,434.86134261857194,0.0009000000000000001
gamma,1000.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,1000.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,1000.0,baseline_heralded_pumping,100,0.7099690398433848,0.2506158389629546,278.46204329217176,0.0009000000000000001
gamma,10000.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,10000.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,10000.0,baseline_heralded_pumping,100,0.2539559905854429,0.10684157216084654,118.71285795649615,0.0009000000000000001
gamma,100000.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
gamma,100000.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
gamma,100000.0,baseline_heralded_pumping,100,0.25,0.09903408814765964,110.03787571962181,0.0009000000000000001
