param_name,param_value,schedule,resource_cost,fidelity,success_prob,rate,latency
tau_emit,0.0,raw,20,0.8234167701529371,1.0,10000.0,0.0001
tau_emit,0.0,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4055.923104807098,0.0001
tau_emit,0.0,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,462.0155396260946,0.0009000000000000001
tau_emit,1e-07,raw,20,0.8234167701529371,1.0,9922.53127659838,0.00010078073549220576
tau_emit,1e-07,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,4024.5023862926437,0.00010078073549220576
tau_emit,1e-07,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,461.61509597146926,0.0009007807354922058
tau_emit,1e-06,raw,20,0.8234167701529371,1.0,9275.804983092094,0.00010780735492205761
tau_emit,1e-06,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,3762.195174660804,0.00010780735492205761
tau_emit,1e-06,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,458.04209825903655,0.0009078073549220576
tau_emit,1e-05,raw,20,0.8234167701529371,1.0,5615.657150525599,0.00017807354922057603
tau_emit,1e-05,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,2277.667358549197,0.00017807354922057603
tau_emit,1e-05,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,425.1357027238352,0.000978073549220576
tau_emit,0.0001,raw,20,0.8234167701529371,1.0,1135.4146719982264,0.0008807354922057604
tau_emit,0.0001,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,460.515460169458,0.0008807354922057604
tau_emit,0.0001,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,247.40001481005197,0.0016807354922057608
tau_emit,0.001,raw,20,0.8234167701529371,1.0,126.46453964150456,0.007907354922057604
tau_emit,0.001,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,51.293044827077146,0.007907354922057604
tau_emit,0.001,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,47.754339794986294,0.008707354922057604
tau_emit,0.01,raw,20,0.8234167701529371,1.0,12.79205063567448,0.07817354922057604
tau_emit,0.01,flexible_optimistic,100,0.9295137825781352,0.4055923104807098,5.1883573731094454,0.07817354922057604
tau_emit,0.01,baseline_heralded_pumping,100,0.9167933368902863,0.4158139856634852,5.265231077586513,0.07897354922057606
