seed,heterogeneity_cv,budget_label,budget_fidelity,budget_cost,budget_rate,link_label,link_fidelity,link_cost,link_rate,link_feasible,rate_improvement_pct
53,0.3281500740118112,"beam.span.((hop0.n3.XZ_YY+(hop1.n2.YY+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY))))+pump[YY](hop5.n3.YY_XZ,hop5.n3.XZ_XZ))",0.9000428372031359,34,2501.542442437893,link.n3.YY_XZ,0.9031584914480083,36,2468.9722115189406,True,1.3191817537271833
54,0.7223472951446532,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n2.YY)+((((hop1.n2.YY+hop2.n2.YY)+hop3.n3.XZ_YY)+pump[ZX](hop4.n2.YY,hop4.n2.YY))+pump[ZX](hop5.n2.YY,hop5.n3.XZ_YY)))",0.9001567113799234,40,2319.5065741682415,link.n3.XZ_YY,0.929770434044441,36,1986.1390464597773,True,16.784702375328653
55,0.651699134348177,link.n3.YY_XZ,0.9052081418354947,36,3124.896776075222,link.n3.YY_XZ,0.9052081418354947,36,3124.896776075222,True,0.0
56,0.7306569273013568,"beam.span.(((hop0.n2.YY+(hop1.n2.YY+(hop2.n2.YY+hop3.n2.YY)))+hop4.n3.XZ_YY)+pump[ZX](hop5.n2.YY,hop5.n3.XZ_YY))",0.9001567631589505,32,4666.033461348436,link.n3.YY_XZ,0.9163165256817241,36,3629.9082926349724,True,28.544114208497916
57,0.5514033065295658,"beam.span.(pump[YY](hop0.n2.XZ,hop0.n2.XZ)+((hop1.n3.YY_YY+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY)))+pump[ZX](hop5.n2.YY,hop5.n3.YY_YY)))",0.9016318790087072,36,2604.4552271169705,link.n3.XZ_YY,0.9299966416150675,36,2557.611218602943,True,1.8315531372909533
58,0.5514449695470329,"beam.span.((hop0.n3.XZ_YY+((hop1.n2.YY+(hop2.n2.YY+hop3.n2.YY))+hop4.n2.YY))+pump[ZX](hop5.n2.YY,hop5.n3.XZ_YY))",0.900103713091703,32,3809.18144363618,link.n3.YY_XZ,0.906340840401408,36,3122.5182858936546,True,21.99068491751057
59,0.6674408123039626,"beam.span.(((hop0.n3.XZ_YY+((hop1.n2.YY+hop2.n2.YY)+hop3.n2.YY))+hop4.n3.ZX_YY)+pump[ZX](hop5.n3.XZ_YY,hop5.n3.XZ_YY))",0.9001519650478926,36,2908.5770669185295,link.n3.XZ_YY,0.9331051721603887,36,2477.9311835247677,True,17.379251137280715
60,0.5266435494822015,"beam.span.(((hop0.n2.YY+hop1.n2.YY)+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY)))+pump[YY](hop5.n2.XZ,hop5.n2.XZ))",0.9007221223439462,28,4608.340629184459,link.n3.YY_XZ,0.9216213208805457,36,3320.7463628836244,True,38.77424306452395
61,0.29559329415341506,link.n2.YY,0.9033128972093781,24,7637.834316366768,link.n2.YY,0.9033128972093781,24,7637.834316366768,True,0.0
62,0.5390621551613117,"beam.span.((hop0.n2.YY+((hop1.n2.YY+hop2.n2.YY)+(hop3.n2.YY+hop4.n2.YY)))+pump[ZX](hop5.n3.XZ_YY,hop5.n3.XZ_YY))",0.9001459967886452,32,4261.731613542653,link.n3.YY_XZ,0.9234482254411602,36,3205.36323456419,True,32.956276767244105
