label,role,resource_cost,fidelity,success_prob,rate,pareto_f_vs_c,pareto_f_vs_r
link.n4.ZX_ZX_XZ,link_level_baseline,48,0.9246746163607882,0.6703476522272853,11172.460870454755,False,False
link.n4.XZ_YY_YY,link_level_baseline,48,0.9246746163607882,0.6703476522272853,11172.460870454755,False,False
link.n4.XZ_XZ_ZX,link_level_baseline,48,0.9246746163607882,0.6703476522272853,11172.460870454755,False,False
link.n5.YY_YY_YY_YY,link_level_baseline,60,0.8333573044095708,0.6703280722386682,11172.134537311136,False,False
end_optimistic.n4.YY_YY_ZX,other,48,0.9499860168479674,0.6592340450972894,10987.234084954824,False,False
end_optimistic.n4.YY_YY_XZ,other,48,0.9499860168479674,0.6592340450972894,10987.234084954824,False,False
end_optimistic.n4.ZX_XZ_YY,other,48,0.9499860168479674,0.6592340450972894,10987.234084954824,False,False
end_optimistic.n4.ZX_XZ_XZ,other,48,0.9499860168479674,0.6592340450972894,10987.234084954824,False,False
end_optimistic.n4.XZ_ZX_YY,other,48,0.9499860168479674,0.6592340450972894,10987.234084954824,False,False
end_optimistic.n4.XZ_ZX_ZX,other,48,0.9499860168479674,0.6592340450972894,10987.234084954824,False,False
end_optimistic.n4.YY_ZX_YY,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.YY_ZX_ZX,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.YY_XZ_YY,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.YY_XZ_XZ,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.ZX_YY_ZX,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.ZX_YY_XZ,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.ZX_ZX_YY,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.ZX_ZX_ZX,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.XZ_YY_ZX,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.XZ_YY_XZ,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.XZ_XZ_YY,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
end_optimistic.n4.XZ_XZ_XZ,other,48,0.9527395290802503,0.6552246558336647,10920.410930561078,False,False
link.n4.YY_YY_ZX,link_level_baseline,48,0.9594871233328888,0.6448507062283944,10747.511770473238,False,False
link.n4.YY_YY_XZ,link_level_baseline,48,0.9594871233328888,0.6448507062283944,10747.511770473238,False,False
link.n4.ZX_XZ_YY,link_level_baseline,48,0.9594871233328888,0.6448507062283944,10747.511770473238,False,False
link.n4.ZX_XZ_XZ,link_level_baseline,48,0.9594871233328888,0.6448507062283944,10747.511770473238,False,False
link.n4.XZ_ZX_YY,link_level_baseline,48,0.9594871233328888,0.6448507062283944,10747.511770473238,False,False
link.n4.XZ_ZX_ZX,link_level_baseline,48,0.9594871233328888,0.6448507062283944,10747.511770473238,False,False
link.n4.YY_ZX_YY,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
